Date,DateTime,Open,High,Low,Close,Volume,Date
2023-03-23,2023-03-23 09:30:00,0.6599,0.6752,0.6513,0.6746,755.5,2023-03-23
2023-03-23,2023-03-23 10:00:00,0.67,0.72,0.6651,0.7199,3157.86,2023-03-23
2023-03-23,2023-03-23 10:30:00,0.7199,0.72,0.68,0.695,1586.94,2023-03-23
2023-03-23,2023-03-23 11:00:00,0.6924,0.6948,0.68,0.681,118.73,2023-03-23
2023-03-23,2023-03-23 11:30:00,0.69,0.69,0.681,0.6896,123.16,2023-03-23
2023-03-23,2023-03-23 12:00:00,0.6899,0.6899,0.6823,0.6823,171.55,2023-03-23
2023-03-23,2023-03-23 12:30:00,0.6899,0.6899,0.6736,0.6745,839.47,2023-03-23
2023-03-23,2023-03-23 13:00:00,0.6745,0.6797,0.66,0.6698,450.61,2023-03-23
2023-03-23,2023-03-23 13:30:00,0.6697,0.6698,0.6551,0.66,489.76,2023-03-23
2023-03-23,2023-03-23 14:00:00,0.6689,0.67,0.66,0.66,190.6,2023-03-23
2023-03-23,2023-03-23 14:30:00,0.6601,0.6698,0.65,0.651,860.43,2023-03-23
2023-03-24,2023-03-24 08:30:00,0.669,0.67,0.64,0.6415,1503.12,2023-03-24
2023-03-24,2023-03-24 09:00:00,0.6506,0.6597,0.63,0.64,1405.64,2023-03-24
2023-03-24,2023-03-24 09:30:00,0.6397,0.6499,0.6323,0.637,1673.59,2023-03-24
2023-03-24,2023-03-24 10:00:00,0.6399,0.6467,0.6341,0.6454,367.75,2023-03-24
2023-03-24,2023-03-24 10:30:00,0.6449,0.65,0.64,0.64,976.29,2023-03-24
2023-03-24,2023-03-24 11:00:00,0.648,0.6499,0.64,0.64,197.08,2023-03-24
2023-03-24,2023-03-24 11:30:00,0.64,0.649,0.632,0.6368,1147.3,2023-03-24
2023-03-24,2023-03-24 12:00:00,0.6322,0.6389,0.63,0.635,404.7,2023-03-24
2023-03-24,2023-03-24 12:30:00,0.635,0.6399,0.63,0.63,620.31,2023-03-24
2023-03-24,2023-03-24 13:00:00,0.6366,0.64,0.63,0.631,183.93,2023-03-24
2023-03-24,2023-03-24 13:30:00,0.6341,0.64,0.62,0.626,1525.9,2023-03-24
2023-03-24,2023-03-24 14:00:00,0.6336,0.6339,0.626,0.626,242.26,2023-03-24
2023-03-24,2023-03-24 14:30:00,0.6297,0.6495,0.625,0.6494,1041.67,2023-03-24
2023-03-27,2023-03-27 08:30:00,0.6561,0.6699,0.63,0.63,1660.22,2023-03-27
2023-03-27,2023-03-27 09:00:00,0.6251,0.6383,0.6102,0.6245,1506.61,2023-03-27
2023-03-27,2023-03-27 09:30:00,0.625,0.63,0.6203,0.6297,224.31,2023-03-27
2023-03-27,2023-03-27 10:00:00,0.6299,0.63,0.62,0.6201,271.43,2023-03-27
2023-03-27,2023-03-27 10:30:00,0.6284,0.6299,0.6202,0.6207,419.4,2023-03-27
2023-03-27,2023-03-27 11:00:00,0.6205,0.6288,0.62,0.62,186.73,2023-03-27
2023-03-27,2023-03-27 11:30:00,0.6201,0.6288,0.615,0.6201,509.85,2023-03-27
2023-03-27,2023-03-27 12:00:00,0.6201,0.625,0.61,0.61,910.18,2023-03-27
2023-03-27,2023-03-27 12:30:00,0.612,0.6194,0.61,0.61,279.9,2023-03-27
